release,type,name,size,relative_path,content_id,parent_folder,code_id,architecture,bits,dependencies,dynamic_loading_dependencies,services,package
marlin-userdebug-PPR1.180610.011-4904810,ODEX,android.test.runner.odex,17392,android.test.runner.odex,CZnRjQmCUjBNQi6p3iiIsh4RUzzCTbdjstEoNhcbD3E=,/,e5468a50 ,,0,system/framework/arm64/boot.art system/framework/arm64/boot-core-libart.art system/framework/arm64/boot-conscrypt.art system/framework/arm64/boot-okhttp.art system/framework/arm64/boot-bouncycastle.art system/framework/arm64/boot-apache-xml.art system/framework/arm64/boot-ext.art system/framework/arm64/boot-framework.art system/framework/arm64/boot-telephony-common.art system/framework/arm64/boot-voip-common.art system/framework/arm64/boot-ims-common.art system/framework/arm64/boot-android.hidl.base-V1.0-java.art system/framework/arm64/boot-android.hidl.manager-V1.0-java.art system/framework/arm64/boot-framework-oahl-backward-compatibility.art system/framework/arm64/boot-android.test.base.art system/framework/arm64/boot-com.google.vr.platform.art system/framework/arm64/boot.art system/framework/arm64/boot-core-libart.art system/framework/arm64/boot-conscrypt.art system/framework/arm64/boot-okhttp.art system/framework/arm64/boot-bouncycastle.art system/framework/arm64/boot-apache-xml.art system/framework/arm64/boot-ext.art system/framework/arm64/boot-framework.art system/framework/arm64/boot-telephony-common.art system/framework/arm64/boot-voip-common.art system/framework/arm64/boot-ims-common.art system/framework/arm64/boot-android.hidl.base-V1.0-java.art system/framework/arm64/boot-android.hidl.manager-V1.0-java.art system/framework/arm64/boot-framework-oahl-backward-compatibility.art system/framework/arm64/boot-android.test.base.art system/framework/arm64/boot-com.google.vr.platform.art,,,
marlin-userdebug-PPR1.180610.011-4904810,FILE,boot-framework.art.pb.txt,470,boot-framework.art.pb.txt,J4q/wVkIMub6ag41gcWT/+LfpCZdBWuzh78TIuj7yFw=,/,,,0,,,,
marlin-userdebug-PPR1.180610.011-4904810,APK,HelloActivity.apk,16866,HelloActivity.apk,NaBXq25sn0o/hUvkvNHfmI9vsBvpEnMV1o+PJWNtRwc=,/,f9855bc7 f1b3224f ,,0,,,,com.example.android.helloactivity
marlin-userdebug-PPR1.180610.011-4904810,FILE,CtsJniTestCases.apk.pb.txt,179205,CtsJniTestCases.apk.pb.txt,w8iNqKPsO06QS3a6xHLYrCOeTGiAXE4k0j1gUOHRE/o=,/,,,0,,,,
marlin-userdebug-PPR1.180610.011-4904810,XML,android.hardware.vulkan.version.xml,902,android.hardware.vulkan.version.xml,4mumUfnT2Ikv63sHKqXR9RrCpentnPxm9b8Wl1W8bmQ=,/,,,0,,,,
marlin-userdebug-PPR1.180610.011-4904810,FILE,boot-framework.oat.pb.txt,8171,boot-framework.oat.pb.txt,5clJwHRXsrzWhjCICl3mV87IBxbVetQhLMsh3WYPOf0=,/,,,0,,,,
marlin-userdebug-PPR1.180610.011-4904810,BUILD_PROP,build.prop,1988,build.prop,i6246nDfNazcxKN1Srx8OxJawb97iNNfPBPQZPf0AfQ=,/,,,0,,,,
marlin-userdebug-PPR1.180610.011-4904810,FILE,d,17,d,WlwwEm4uyHhqkgGcu5UCu1rmIpROYQQ+lH1EtGoZaXo=,/,,,0,,,,
marlin-userdebug-PPR1.180610.011-4904810,FILE,libEGL.so.pb.txt,3651,libEGL.so.pb.txt,M6Jjbch+YG4kENg/QqQE4hrxslfaC8m2NaKItSH1pwE=,/,,,0,,,,
marlin-userdebug-PPR1.180610.011-4904810,XML,platform.xml,10323,platform.xml,XX3tGVfCUz80Ws9at+dFNjir72S/cJUcb4y/g9QBnOM=,/,,,0,,,,
marlin-userdebug-PPR1.180610.011-4904810,APK,Shell.apk,803551,Shell.apk,vkz3X7DyuwrFSkQw/RfAJhyf5/gG4FelAGXZaRvH09c=,/,f1b3224f f9855bc7 ,,0,,,,com.android.shell
marlin-userdebug-PPR1.180610.011-4904810,FOLDER,marlin-userdebug-PPR1.180610.011-4904810,33112616,/,pUYfVVjm2U7yO/a14nipshfO8BnvlH8ansLwNYcbTvc=,,,,0,,,,
marlin-userdebug-PPR1.180610.011-4904810,OAT,boot-framework.oat,15599048,boot-framework.oat,3x7nAT8P+6fzuagnGVB6QqYJ4caUcMG3uF+jkaXh52M=,/,f0acaa05 2d59fc59 34ad167d ,,0,system/framework/arm64/boot.art system/framework/arm64/boot-core-libart.art system/framework/arm64/boot-conscrypt.art system/framework/arm64/boot-okhttp.art system/framework/arm64/boot-bouncycastle.art system/framework/arm64/boot-apache-xml.art system/framework/arm64/boot-ext.art system/framework/arm64/boot-framework.art system/framework/arm64/boot-telephony-common.art system/framework/arm64/boot-voip-common.art system/framework/arm64/boot-ims-common.art system/framework/arm64/boot-android.hidl.base-V1.0-java.art system/framework/arm64/boot-android.hidl.manager-V1.0-java.art system/framework/arm64/boot-framework-oahl-backward-compatibility.art system/framework/arm64/boot-android.test.base.art system/framework/arm64/boot-com.google.vr.platform.art system/framework/arm64/boot.art system/framework/arm64/boot-core-libart.art system/framework/arm64/boot-conscrypt.art system/framework/arm64/boot-okhttp.art system/framework/arm64/boot-bouncycastle.art system/framework/arm64/boot-apache-xml.art system/framework/arm64/boot-ext.art system/framework/arm64/boot-framework.art system/framework/arm64/boot-telephony-common.art system/framework/arm64/boot-voip-common.art system/framework/arm64/boot-ims-common.art system/framework/arm64/boot-android.hidl.base-V1.0-java.art system/framework/arm64/boot-android.hidl.manager-V1.0-java.art system/framework/arm64/boot-framework-oahl-backward-compatibility.art system/framework/arm64/boot-android.test.base.art system/framework/arm64/boot-com.google.vr.platform.art,,,
marlin-userdebug-PPR1.180610.011-4904810,FOLDER,system,213,system,G3C2OCS7wxwwtqCTYuZ3IJwcgTUK9NCax9PimoXd8OU=,/,,,0,,,,
marlin-userdebug-PPR1.180610.011-4904810,VDEX,android.test.runner.vdex,106224,android.test.runner.vdex,vSvV6rpBmJ5wf1Ni6XfyL2+cDfR8b3PAvNthT1TwW1I=,/,e5468a50 ,,0,,,,
marlin-userdebug-PPR1.180610.011-4904810,FILE,android.test.runner.vdex.pb.txt,423,android.test.runner.vdex.pb.txt,OETfzyAwK6iMyJ8+Hxse7RDrYJeAzMljxeKKfZ2TzVw=,/,,,0,,,,
marlin-userdebug-PPR1.180610.011-4904810,FILE,platform.xml.pb.txt,9292,platform.xml.pb.txt,fazz7x8PlS0W5tJ6veZDJWTMypx9GvbvCLDriF4dpkE=,/,,,0,,,,
marlin-userdebug-PPR1.180610.011-4904810,ART,boot-framework.art,11558912,boot-framework.art,+3pO8URmb2E6aYWRQXK6LoHxW/5pufe1V/bx7rGRJvQ=,/,533a429a ,,0,,,,
marlin-userdebug-PPR1.180610.011-4904810,FILE,Shell.apk.pb.txt,167191,Shell.apk.pb.txt,Z0T3n+EKEuaH7CZfu7FbmtjmqD5kQk0U9SJ5bnVHyAs=,/,,,0,,,,
